
 ⛅️ wrangler 4.137.0
────────────────────
Successfully created tail, expires at 2026-09-24T04:40:32Z
Connected to gemini-web2api, waiting for logs...
GET https://api.shigatsuki.eu.org/application.yaml - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/application-dev.properties - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/application-prod.properties - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/appsettings.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/appsettings.Development.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/appsettings.Production.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/config.yaml - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/config.yml - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/config.toml - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/serverless.yml - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/serverless.yaml - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/config/production.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/config/development.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/config/default.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/config/local.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/conf/settings.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/data/config.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/actuator/env - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/actuator/configprops - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/api/config - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/api/settings - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/api/env - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/backup/.env - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/backups/.env - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/old/.env - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/temp/.env - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/tmp/.env - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/.streamlit/secrets.toml - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/root/.streamlit/secrets.toml - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/root/.aws/credentials - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/home/ubuntu/.aws/credentials - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/home/ec2-user/.aws/credentials - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/home/node/.aws/credentials - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/terraform.tfvars - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/terraform.tfstate - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/ecosystem.config.js - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/secrets.yaml - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/secrets.yml - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/.secrets - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/.env.vault - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/.aws/credentials - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/.aws/config - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/.git/config - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/.docker/config.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/storage/framework/.env - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/laravel/.env - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/debug/vars - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/.gcp/credentials.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/.gcp/service-account.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/gcp-credentials.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/gcp-service-account.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/service-account.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/google-credentials.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/google-cloud-key.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/firebase-adminsdk.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/firebase-credentials.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/root/.config/gcloud/application_default_credentials.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/root/.config/gcloud/credentials.db - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/home/ubuntu/.config/gcloud/application_default_credentials.json - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/home/node/.config/gcloud/application_default_credentials.json - Ok @ 2026/9/24 06:40:35
GET https://api.shigatsuki.eu.org/app/credentials.json - Ok @ 2026/9/24 06:40:35
GET https://api.shigatsuki.eu.org/config/gcp.json - Ok @ 2026/9/24 06:40:35
GET https://api.shigatsuki.eu.org/app/service-account.json - Ok @ 2026/9/24 06:40:35
GET https://api.shigatsuki.eu.org/ - Ok @ 2026/9/24 06:40:39
GET https://api.shigatsuki.eu.org/ - Ok @ 2026/9/24 06:40:41
GET https://api.shigatsuki.eu.org/ - Ok @ 2026/9/24 06:40:42
POST https://api.shigatsuki.eu.org/v1/chat/completions - Ok @ 2026/9/24 06:40:51
  (error) [gemini-web2api] client_ip=116.49.184.59 model generate request
  (error) [gemini-web2api] Retry 1/3: Error: Gemini upstream rejected request: BardErrorInfo [1060]
  (error) [gemini-web2api] client_ip=116.49.184.59 model generate request
  (error) [gemini-web2api] Retry 2/3: Error: Gemini upstream rejected request: BardErrorInfo [1060]
  (error) [gemini-web2api] client_ip=116.49.184.59 model generate request
POST https://gemini-web2api.shigatsuki.workers.dev/v1/chat/completions - Ok @ 2026/9/24 06:40:56
  (error) [gemini-web2api] client_ip=116.49.184.59 model generate request
